T0.A.S31.L001,T0.B.S32.L001,T0.C.S33.L001,T1.A.S34.L001,T1.B.S35.L001,T1.C.S36.L001,T10.A.S61.L001,T10.B.S62.L001,T10.C.S63.L001,T11.A.S64.L001,T11.B.S65.L001,T11.C.S66.L001,T2.A.S37.L001,T2.B.S38.L001,T2.C.S39.L001,T3.A.S40.L001,T3.B.S41.L001,T3.C.S42.L001,T4.A.S43.L001,T4.B.S44.L001,T4.C.S45.L001,T5.A.S46.L001,T5.B.S47.L001,T5.C.S48.L001,T6.A.S49.L001,T6.B.S50.L001,T6.C.S51.L001,T7.A.S52.L001,T7.B.S53.L001,T7.C.S54.L001,T8.A.S55.L001,T8.B.S56.L001,T8.C.S57.L001,T9.A.S58.L001,T9.B.S59.L001,T9.C.S60.L001,sum.taxonomy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Taeniamia;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016724618,0,0.123555891,0,0,0,0.859719491,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Ostorhinchus;Ostorhinchus chrysopomus
0,0.215629079,0.131287825,0,0,0,0.653083095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Apogon;Apogon guadalupensis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Holocentriformes;Holocentridae;Myripristis;
0.28046517,0.134218113,0.217914174,0.007399213,0,0,0,0.067400324,0.032989974,0,0.080428344,0,0,0,0,0,0,0,0,0,0,0,0.125394516,0,0,0,0,0,0,0,0,0,0,0,0.053790171,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Typhlogobius;Typhlogobius californiensis
0,0,0.150388712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5255075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324103788,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Rhinogobiops;Rhinogobiops nicholsii
0.230236574,0,0,0,0,0,0,0,0,0,0,0,0,0.259513547,0,0,0,0,0,0,0.510249879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Lythrypnus;Lythrypnus zebra
0,0,0,0.031395975,0.030156752,0.027951184,0,0,0,0,0,0,0,0,0.356674105,0,0.075729201,0,0.040177312,0.142591352,0.276258546,0,0,0.019010846,5.47E-05,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Ctenopharyngodon;Ctenopharyngodon idella
0.008088695,0.016719342,0.007490557,0.009499365,0.007578386,0.020177007,0,0.004286259,0.005070591,4.66E-05,0.006049082,0,0.009794601,0.083942271,0.049556746,0.017116963,0.077593078,0.079326862,0.022478378,0.027483225,0.168721584,0.016904987,0.043705131,0.019900735,0,0.048782765,0.111599131,0.014304097,0.008898151,0.038299518,0.005119481,0.012224571,0.034311488,0.008695899,0.011218585,0.005015834,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812259736,0,0,0,0,0,0.187740264,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Clupeiformes;Dussumieriidae;Etrumeus;Etrumeus teres
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Spratelloides;Spratelloides delicatulus
0,0,0,0,0,0,0,0,0,0.077047707,0,0,0,0,0,0,0,0,0.021830737,0,0,0,0,0,0,0,0.31564352,0,0,0,0,0.338655173,0.117606189,0,0.129216675,0,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
0,0,0,0,0.092026765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675607266,0,0,0,0.232365969,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Amblygaster;Amblygaster sirm
0,0,0,0,0.158975112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.841024888,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Chaetodontiformes;Chaetodontidae;Chelmon;Chelmon rostratus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Chaetodontiformes;Chaetodontidae;Chaetodon;Chaetodon ulietensis
0,0,0,0,0.066827645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933172355,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Chaetodontiformes;Chaetodontidae;Chaetodon;Chaetodon octofasciatus
